user_id,total_spend,txn_count,spend_mean_30d,spend_volatility_30d,spend_cv_30d,spend_txn_count_30d,max_daily_spend_30d,spend_mean_30d_lag1,spend_volatility_30d_lag1,spend_cv_30d_lag1,essential_ratio_30d,non_essential_spend_30d,non_essential_spend_vol_30d,disc_active_days_30d,total_spend_30d,top_merchant_spend_ratio,bank_spend_30d,card_spend_share_30d,card_to_bank_spend_ratio_30d,ewa_usage_count,ewa_total_amount,ewa_avg_amount,ewa_max_amount
Mymo1002027,302.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,3626.0,58.483870967741936,300.0
Mymo1002233,272.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,2677.0,86.35483870967742,461.0
Mymo1002952,1072.3666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymo1003871,42.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymo1007906,49.99854166666666,2.9791666666666665,50.400026978045624,38.969700095697085,0.7812570423607359,67.93181818181819,178.95,50.43613440992093,38.799490872131365,0.7773881761219592,0.034312071566636154,1020.8697727272728,39.14538684155021,20.75,1062.9593181818182,1.0,0.0,0.9999999989000702,1062959318.1818181,13.0,1578.0,121.38461538461539,312.0
Mymo1015309,27.807931034482756,2.206896551724138,29.118130976390166,17.88031702756965,0.6554999881697934,23.041666666666668,68.77000000000001,29.270049714494085,17.814083423875044,0.6510762172897713,0.02932123601947752,290.6975,17.544765817871003,10.083333333333334,301.325,1.0,0.0,0.9999999955292679,301325000.0,59.0,2098.0,35.559322033898304,113.0
Mymo1021937,458.3333333333333,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymo1023063,48.141666666666666,1.8333333333333333,58.50814068074782,30.087075855816828,0.5259226847611204,18.642857142857142,112.12,59.180305348497654,29.846819696839763,0.5150492300974248,0.0,586.1778571428571,30.087075855816828,10.071428571428571,586.1778571428571,1.0,9.51142857142857,0.9832083185275463,853.8177322609437,16.0,786.0,49.125,63.0
Mymo1025823,5.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,4684.0,130.11111111111111,227.0
Mymo1027270,16.535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymo1029066,30.21914285714286,2.2,29.83779487000455,24.53168700978909,0.8144370551439132,24.838709677419356,100.75,29.59477264772265,24.286164800172408,0.8129480281709329,0.4806748433890514,171.11483870967743,18.116422806827586,7.161290322580645,329.9538709677419,1.0,0.0,0.9999999965779031,329953870.967742,0.0,0.0,0.0,0.0
Mymo1030036,30.151999999999997,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,3048.0,87.08571428571429,200.0
Mymo1030241,30.537288135593222,1.7118644067796611,35.7487978669039,51.05396272694875,1.2716674245948971,29.29090909090909,417.28999999999996,35.933389802710764,51.482166641523136,1.2751538608930217,0.3666186886418478,326.58690909090905,22.736371375333793,15.527272727272727,545.7749090909091,1.0,142.0330909090909,0.7783130430560606,142808911.1030204,0.0,0.0,0.0,0.0
Mymo1033570,21.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,3903.77,86.75044444444444,402.57
Mymo1033578,42.08749999999999,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,2928.0,108.44444444444444,338.0
Mymo1036471,96.84,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,2948.0,147.4,410.0
Mymo1039244,0.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,1847.0,25.301369863013697,70.0
Mymo1040603,104.931,1.9,175.0865,163.1434015617436,0.9355969495014604,13.5,350.0,175.0865,163.1434015617436,0.9355969495014604,0.9814062516029094,18.125,7.399500264657517,0.5,956.665,1.0,956.665,0.0,0.0,42.0,2970.0,70.71428571428571,221.0
Mymo1041848,117.3529411764706,2.0588235294117645,129.4844461094461,61.040487333377556,0.4684583132440947,24.133333333333333,270.0,131.2154368619886,62.0019536693484,0.47019106370814645,0.0,1398.6666666666667,61.040487333377556,11.2,1398.6666666666667,1.0,1398.6666666666667,0.0,0.0,42.0,4337.0,103.26190476190476,258.0
Mymo1043257,411.01875,2.125,252.14199999999997,221.77325880276908,0.8795569909129344,8.0,592.18,252.14199999999997,221.77325880276908,0.8795569909129344,0.0,1260.7099999999998,221.77325880276908,5.0,1260.7099999999998,1.0,1260.7099999999998,0.0,0.0,16.0,4685.0,292.8125,550.0
Mymo1043862,20.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymo1047653,68.595,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,495.98,247.99,282.0
Mymo1047668,552.5882352941177,1.8235294117647058,461.1840576923077,384.33114484337847,0.7711974281682872,12.0,2236.86,463.13261011904757,391.5615054174443,0.7788235106784244,0.046303278387711096,2806.6769230769232,395.33963070469565,5.769230769230769,2923.9646153846156,1.0,2923.9646153846156,0.0,0.0,31.0,3975.0,128.2258064516129,640.0
Mymo1048759,134.0909090909091,2.3636363636363638,137.29166666666666,31.437507830631287,0.22321208427479672,12.25,195.0,137.29166666666666,31.437507830631287,0.22321208427479672,0.0,756.25,31.437507830631287,5.5,756.25,1.0,756.25,0.0,0.0,42.0,4230.0,100.71428571428571,245.0
Mymo1051192,1.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,2206.0,84.84615384615384,149.0
Mymo1054946,4.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymo1062053,0.03,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,3305.0,71.84782608695652,127.0
Mymo1062180,366.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mymo1070942,14.253125,1.1875,11.795512987012986,7.367670686664893,0.6275749785476887,7.181818181818182,25.3,11.77292142857143,7.414319545995371,0.6329251387274477,0.2825293230339644,57.03090909090909,9.280401531132815,4.636363636363637,79.54818181818182,1.0,0.0,0.9999999871195263,79548181.81818183,1.0,400.0,400.0,400.0
Mymo1075708,17.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,4818.0,155.41935483870967,411.0
Mymo1076935,181.5134782608696,3.5217391304347827,176.79369818485608,150.07602439203117,0.839752364957073,31.210526315789473,525.0,174.90686660253328,149.9052903724988,0.8460350639412065,0.19807274752174497,1247.2742105263158,130.2737152955322,7.2631578947368425,1563.831052631579,1.0,1563.831052631579,0.0,0.0,7.0,372.0,53.142857142857146,86.0
