user_id,total_spend,txn_count,spend_mean_30d,spend_volatility_30d,spend_cv_30d,spend_txn_count_30d,max_daily_spend_30d,spend_mean_30d_lag1,spend_volatility_30d_lag1,spend_cv_30d_lag1,essential_ratio_30d,non_essential_spend_30d,non_essential_spend_vol_30d,disc_active_days_30d,total_spend_30d,top_merchant_spend_ratio,bank_spend_30d,card_spend_share_30d,card_to_bank_spend_ratio_30d,spend_trend_w2_vs_w1,spend_volatility_trend_7d,frequent_small_txn_ratio,merchant_churn_rate,w1_distress_ratio,ewa_usage_count,ewa_total_amount,ewa_avg_amount,ewa_max_amount,ewa_avg_income_rate,ewa_min_income_rate,ewa_contract_FullTimeHourly,ewa_contract_FullTimeSalaried,ewa_contract_PartTimeHourly,ewa_contract_PartTimeSalaried
Mymo1002027,302.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,139.18688336755062,0.0,0.49999987500003124,0.49999987500003124,0.0,62.0,3626.0,58.483870967741936,300.0,20.15,20.15,1.0,0.0,0.0,0.0
Mymo1002233,272.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,272000000.0,0.0,0.0,0.499999750000125,0.0,31.0,2677.0,86.35483870967742,461.0,20.6,20.6,1.0,0.0,0.0,0.0
Mymo1002952,426.4138461538462,2.3076923076923075,478.8670405608948,455.01615274996584,0.9476811950136163,32.40909090909091,1980.04,485.4082012225248,462.43905912569033,0.9510975437651633,0.0,5955.530454545455,455.01615274996584,13.090909090909092,5955.530454545455,1.0,5955.530454545455,0.0,0.0,-0.26267425472628336,0.9024227143764743,0.21666666305555562,0.03333333277777779,0.0,0.0,0.0,0.0,0.0,,,,,,
Mymo1003871,31.993333333333336,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9001249887484377,2842569.260369921,0.9999998333333611,0.49999991666668053,0.0,0.0,0.0,0.0,0.0,,,,,,
Mymo1007906,49.99854166666666,2.9791666666666665,50.400026978045624,38.969700095697085,0.7812570423607359,67.93181818181819,178.95,50.43613440992093,38.799490872131365,0.7773881761219592,0.034312071566636154,1020.8697727272728,39.14538684155021,20.75,1062.9593181818182,1.0,0.0,0.9999999989000702,1062959318.1818181,-0.1324629663722616,0.262527095456295,0.9510489443982592,0.04895104860873393,0.0,13.0,1578.0,121.38461538461539,312.0,18.0,18.0,1.0,0.0,0.0,0.0
Mymo1015309,27.807931034482756,2.206896551724138,29.118130976390166,17.88031702756965,0.6554999881697934,23.041666666666668,68.77000000000001,29.270049714494085,17.814083423875044,0.6510762172897713,0.02932123601947752,290.6975,17.544765817871003,10.083333333333334,301.325,1.0,0.0,0.9999999955292679,301325000.0,-0.11511295700186087,0.001448051794236914,0.9999999843750003,0.12499999804687503,0.0,59.0,2098.0,35.559322033898304,113.0,12.4,12.4,1.0,0.0,0.0,0.0
Mymo1019067,306.3325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2470243197510033,0.5736544823545848,0.24999993750001562,0.49999987500003124,0.0,3.0,1199.0,399.6666666666667,500.0,16.6,16.6,1.0,0.0,0.0,0.0
Mymo1021937,458.3333333333333,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1666666663333333,144337567.29740646,0.0,0.09090908264462885,1.0,0.0,0.0,0.0,0.0,,,,,,
Mymo1023063,48.141666666666666,1.8333333333333333,58.50814068074782,30.087075855816828,0.5259226847611204,18.642857142857142,112.12,59.180305348497654,29.846819696839763,0.5150492300974248,0.0,586.1778571428571,30.087075855816828,10.071428571428571,586.1778571428571,1.0,9.51142857142857,0.9832083185275463,853.8177322609437,2547.4902725451957,31074340.2040598,0.7272727052341605,0.15151514692378343,0.0,16.0,786.0,49.125,63.0,16.5,16.5,1.0,0.0,0.0,0.0
Mymo1025823,5.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5140000.0,0.0,0.99999950000025,0.499999750000125,0.0,36.0,4684.0,130.11111111111111,227.0,23.44,23.44,0.0,1.0,0.0,0.0
